Sampling Type,Coreset Size,Average Cost,Reduction in Data Size,Error,Avg Rand Index,Data,Optimal Cost,Avg Time,Clustering Algorithm
Statistical Leverage Sampling,2000,1015922.8909882028,80.0,2.0386252021007403,1.0,Synthetic,995625.8122608332,0.1984033584594726,KMeans++
Statistical Leverage Sampling,5000,1000624.5649398996,50.0,0.5020714225674188,1.0,Synthetic,995625.8122608332,0.3810437679290771,KMeans++
Statistical Leverage Sampling,7000,997805.0050394372,30.0,0.218876685574818,1.0,Synthetic,995625.8122608332,0.452606201171875,KMeans++
Statistical Leverage Sampling,10000,995625.8122608332,0.0,0.0,1.0,Synthetic,995625.8122608332,0.6212984561920166,KMeans++
Norm Based Sampling,100,10861264.351342734,99.0,990.8982287913312,0.9907974317431744,Synthetic,995625.8122608336,0.1522596359252929,KMeans++
Norm Based Sampling,500,1102010.1730523126,95.0,10.685175040802235,1.0,Synthetic,995625.8122608336,0.1879273891448974,KMeans++
Norm Based Sampling,1000,1043777.8096900074,90.0,4.836354867079227,1.0,Synthetic,995625.8122608336,0.1831637859344482,KMeans++
Norm Based Sampling,2000,1016569.5427362226,80.0,2.1035744772256204,1.0,Synthetic,995625.8122608336,0.2439738273620605,KMeans++
Norm Based Sampling,5000,1000663.3111705192,50.0,0.5059630684189369,1.0,Synthetic,995625.8122608336,0.4958191871643066,KMeans++
Norm Based Sampling,7000,997756.7398503412,30.0,0.2140289618113474,1.0,Synthetic,995625.8122608336,0.5631577968597412,KMeans++
Norm Based Sampling,10000,995625.8122608332,0.0,2.3385356304208874e-14,1.0,Synthetic,995625.8122608336,0.7229216575622559,KMeans++
Uniform Sampling,100,7666481.855041722,99.0,670.0163817200496,0.995044892489249,Synthetic,995625.8122608332,0.1786672115325927,KMeans++
Uniform Sampling,500,1104544.321406794,95.0,10.93970323033634,1.0,Synthetic,995625.8122608332,0.2328814029693603,KMeans++
Uniform Sampling,1000,1043464.6803206906,90.0,4.804904359723913,1.0,Synthetic,995625.8122608332,0.2537943840026855,KMeans++
Uniform Sampling,2000,1016285.1042294756,80.0,2.075005661186112,1.0,Synthetic,995625.8122608332,0.3221271991729736,KMeans++
Uniform Sampling,5000,1000704.121214555,50.0,0.5100620023289797,1.0,Synthetic,995625.8122608332,0.5407004356384277,KMeans++
Uniform Sampling,7000,997788.1424183932,30.0,0.2171830150375388,1.0,Synthetic,995625.8122608332,0.8313690185546875,KMeans++
Uniform Sampling,10000,995625.8122608332,0.0,0.0,1.0,Synthetic,995625.8122608332,1.667133665084839,KMeans++
Norm Based Sampling,100,2223375.358276769,99.83333333333331,16.611484522787137,0.9036099690550398,FMNIST,1906652.1341148848,1.8594274520874023,KMeans++
Norm Based Sampling,500,1975954.7289767424,99.16666666666669,3.634779182938361,0.9216752275871264,FMNIST,1906652.1341148848,2.247140407562256,KMeans++
Norm Based Sampling,1000,1971601.4252169384,98.33333333333331,3.4064573154140096,0.9181317829741606,FMNIST,1906652.1341148848,2.587588977813721,KMeans++
Norm Based Sampling,2000,1938518.3070317148,96.66666666666669,1.671315514071114,0.9321885429201596,FMNIST,1906652.1341148848,3.653075218200684,KMeans++
Norm Based Sampling,5000,1937281.1865651445,91.66666666666666,1.6064310789696543,0.9243913236331718,FMNIST,1906652.1341148848,6.783704376220703,KMeans++
