Sampling Type,Coreset Size,Average Cost,Reduction in Data Size,Error,Avg Rand Index,Data,Optimal Cost,Avg Time,Clustering Algorithm
Lightweight Coresets,3500,80937090.6134452,65.0,15.047145229983968,0.9704023282328234,KDD,95272949.723182,4.248614645004272,KMedoids
Lightweight Coresets,5000,90690509.7348593,50.0,4.809801734529148,0.9490357755775576,KDD,95272949.723182,6.0903808116912845,KMedoids
Lightweight Coresets,7000,94147669.2456438,30.0,1.1811122472933973,0.9579749254925491,KDD,95272949.723182,9.001523208618163,KMedoids
Lightweight Coresets,10000,84161601.17622718,0.0,11.6626477706832,0.9579399579957996,KDD,95272949.723182,12.327308654785156,KMedoids
Lightweight Coresets,100,8207360.99172497,99.0,724.34192551597,0.9932223222322232,Synthetic,995625.8122608332,0.1750160217285156,KMeans++
Lightweight Coresets,500,1111610.5489317684,95.0,11.64943046299302,1.0,Synthetic,995625.8122608332,0.2051067352294922,KMeans++
Lightweight Coresets,1000,1048667.134956126,90.0,5.327435472454075,1.0,Synthetic,995625.8122608332,0.3715892314910888,KMeans++
Lightweight Coresets,1500,1030169.5410764952,85.0,3.469549341757335,1.0,Synthetic,995625.8122608332,0.3495692253112793,KMeans++
Lightweight Coresets,3500,1010127.8528867284,65.0,1.4565753968315065,1.0,Synthetic,995625.8122608332,0.545590591430664,KMeans++
Lightweight Coresets,5000,1005830.1492020732,50.0,1.0249168729432945,1.0,Synthetic,995625.8122608332,0.7097958564758301,KMeans++
Lightweight Coresets,7000,1002686.6760124478,30.0,0.7091884987976571,1.0,Synthetic,995625.8122608332,0.7877333164215088,KMeans++
Lightweight Coresets,10000,1000592.6246546588,0.0,0.4988633613814243,1.0,Synthetic,995625.8122608332,1.0587316513061524,KMeans++
Lightweight Coresets,100,2951022.438714548,99.0,42.72241401179201,0.9403528872887288,Synthetic,2067665.7266116089,0.8710480690002441,KMedoids
Lightweight Coresets,500,2373520.395790874,95.0,14.79226865555706,0.9569704930493048,Synthetic,2067665.7266116089,1.4406715869903564,KMedoids
Lightweight Coresets,1000,2370902.370153872,90.0,14.665651204616744,0.962461594159416,Synthetic,2067665.7266116089,2.10781478881836,KMedoids
Lightweight Coresets,1500,2398172.4183305507,85.0,15.984532096518342,0.9587806820682068,Synthetic,2067665.7266116089,2.688673973083496,KMedoids
Lightweight Coresets,3500,2148880.8707985827,65.0,3.927866247513097,0.9593688968896888,Synthetic,2067665.7266116089,5.5325977325439455,KMedoids
